Instrument,Scenario,Action,Entry,Target
XAUUSD,ScenarioOne,Sell,3310.0,3280.0
XAUUSD,Alternative,Buy,3325.0,3355.0
XAGUSD,ScenarioOne,Sell,37.45,36.44
XAGUSD,Alternative,Buy,38.05,39.04
XPTUSD,ScenarioOne,Sell,1325.0,1275.0
XPTUSD,Alternative,Buy,1350.0,1400.0
WTI USOILROLL,ScenarioOne,Buy,69.2,71.29
WTI USOILROLL,Alternative,Sell,68.21,66.23
BRENT UKOILROLL,ScenarioOne,Buy,71.94,73.91
BRENT UKOILROLL,Alternative,Sell,70.95,68.94
EURUSD,ScenarioOne,Sell,1.1465,1.1405
EURUSD,Alternative,Buy,1.1495,1.1555
GBPUSD,ScenarioOne,Sell,1.329,1.3209
GBPUSD,Alternative,Buy,1.333,1.341
USDJPY,ScenarioOne,Buy,149.82,150.85
USDJPY,Alternative,Sell,149.32,148.35
US30,ScenarioOne,Buy,44523.0,45007.0
US30,Alternative,Sell,44393.0,43993.0
US500,ScenarioOne,Buy,6410.0,6482.0
US500,Alternative,Sell,6375.0,6305.0
UT100,ScenarioOne,Buy,23587.0,23888.0
UT100,Alternative,Sell,23437.0,23137.0
DE40,ScenarioOne,Buy,24239.0,24388.0
DE40,Alternative,Sell,24119.0,23939.0
USDCHF,ScenarioOne,Buy,0.8117,0.818
USDCHF,Alternative,Sell,0.8087,0.8027
USDCAD,ScenarioOne,Buy,1.3802,1.3895
USDCAD,Alternative,Sell,1.3757,1.3667
AUDUSD,ScenarioOne,Sell,0.6473,0.6404
AUDUSD,Alternative,Buy,0.6508,0.6578
NZDUSD,ScenarioOne,Sell,0.5948,0.5896
NZDUSD,Alternative,Buy,0.5973,0.6023
GBPJPY,ScenarioOne,Sell,197.57,196.55
GBPJPY,Alternative,Buy,198.06,199.07
EURJPY,ScenarioOne,Sell,170.39,169.38
EURJPY,Alternative,Buy,170.9,171.93
